timestamp,symbol,timeframe,score_long,score_short,score_threshold,score_total_weight,active_total_weight,status
2025-09-28T10:38:10.110256,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:38:10.632043,ETH/USDT,15m,6.14,7.84,15.0,18.0,18.0,NONE
2025-09-28T10:38:11.160868,BNB/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:38:11.741644,SOL/USDT,15m,0.0,12.82,15.0,18.0,18.0,NONE
2025-09-28T10:38:12.266133,XRP/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:38:12.790920,ADA/USDT,15m,3.92,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:38:13.317244,DOGE/USDT,15m,5.08,8.9,15.0,18.0,18.0,NONE
2025-09-28T10:38:13.837434,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:38:14.350054,LINK/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:38:14.870524,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:38:15.414591,DOT/USDT,15m,3.92,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:38:15.942330,TRX/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:38:16.462450,AVAX/USDT,15m,2.12,10.6,15.0,18.0,18.0,NONE
2025-09-28T10:38:16.986829,ATOM/USDT,15m,5.19,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:38:17.494431,ARB/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:39:07.607775,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
2025-09-28T10:39:08.082708,ETH/USDT,15m,7.2,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:39:08.558269,BNB/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:39:09.178013,SOL/USDT,15m,2.86,9.86,15.0,18.0,18.0,NONE
2025-09-28T10:39:09.646865,XRP/USDT,15m,6.04,6.68,15.0,18.0,18.0,NONE
2025-09-28T10:39:10.118171,ADA/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:39:10.592971,DOGE/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:39:11.105243,LTC/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:39:11.575539,LINK/USDT,15m,4.98,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:39:12.046351,MATIC/USDT,15m,5.08,8.8,15.0,18.0,18.0,NONE
2025-09-28T10:39:12.517071,DOT/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:39:13.037524,TRX/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:39:13.503360,AVAX/USDT,15m,2.12,10.6,15.0,18.0,18.0,NONE
2025-09-28T10:39:14.033030,ATOM/USDT,15m,6.35,7.53,15.0,18.0,18.0,NONE
2025-09-28T10:39:14.517446,ARB/USDT,15m,6.14,7.74,15.0,18.0,18.0,NONE
2025-09-28T10:40:07.662510,BTC/USDT,15m,3.18,10.7,15.0,18.0,18.0,NONE
