event_type,symbol,direction,stage,entry,close_price,time_open,time_close,size,result,status,sl,tp,is_probe,fee,pnl_pct,r_value,reason,time_open_human,time_close_human
open,TRX/USDT,SHORT,probe,0.319,,1760208412.3091664,,31.34796238244514,,open,,0.2871,True,0.0,,0.000574,probe_breakout_short,12/10/2025 01:46,
promote,TRX/USDT,SHORT,full,0.319,,1760208412.3091664,,188.08777429467082,,promoted,,0.2871,False,0.0,,0.000574,probe_breakout_short,12/10/2025 01:46,
open,ETH/USDT,SHORT,probe,3787.59,,1760209913.206195,,0.0026402012889462693,,open,,3408.831,True,0.0,,24.454746,probe_breakout_short,12/10/2025 02:11,
open,SOL/USDT,SHORT,probe,180.67,,1760209973.2434027,,0.0553495322964521,,open,,162.60299999999998,True,0.0,,1.722285,probe_breakout_short,12/10/2025 02:12,
open,ADA/USDT,SHORT,probe,0.6428,,1760209973.2434027,,15.556938394523957,,open,,0.57852,True,0.0,,0.006784,probe_breakout_short,12/10/2025 02:12,
open,DOT/USDT,SHORT,probe,3.081,,1760209973.2434027,,3.2456994482310937,,open,,2.7729,True,0.0,,0.034879,probe_breakout_short,12/10/2025 02:12,
open,BTC/USDT,SHORT,probe,111408.56,,1760210003.262312,,8.97597096668335e-05,,open,,100267.704,True,0.0,,350.073361,probe_breakout_short,12/10/2025 02:13,
promote,BTC/USDT,SHORT,full,111488.97339003593,,1760210003.262312,,0.0005381698133509081,,promoted,,100267.704,False,0.0,,350.073361,probe_breakout_short,12/10/2025 02:13,
open,AVAX/USDT,SHORT,probe,22.13,,1760210453.55288,,0.45187528242205155,,open,,19.916999999999998,True,0.0,,0.263529,probe_breakout_short,12/10/2025 02:20,
open,DOGE/USDT,SHORT,probe,0.18681,,1760210483.5707345,,53.53032492907232,,open,,0.168129,True,0.0,,0.002213,probe_breakout_short,12/10/2025 02:21,
open,LINK/USDT,SHORT,probe,17.38,,1760210483.5707345,,0.5753739930955121,,open,,15.642,True,0.0,,0.217405,probe_breakout_short,12/10/2025 02:21,
